0: 1 5 14 6 21, zy
1: 1 5 16 6 23, zy
2: 1 7 22 6 17, zy
3: 1 5 14 4 16 6 23, zy
4: 1 7 20 6 18 6 17, zy
5: 1 5 14 4 10 4 16 6 21, zy
6: 1 5 16 4 12 4 18 6 23, zy
7: 1 5 18 6 22 6 20 6 23, zy
8: 1 6 1 19 6 17 1 7 21, zy
9: 1 7 20 6 16 4 10 4 15, zy
10: 1 7 20 6 18 6 18 6 17, zy
11: 1 7 22 6 19 1 7 24 6 17, zy
12: 1 5 12 2 2 2 10 4 14 6 21, zy
13: 1 5 16 5 1 23 6 17 1 7 23, zy
14: 1 5 16 5 1 23 6 18 5 1 24, zy
15: 1 5 16 6 22 6 14 4 14 6 23, zy
16: 1 5 17 1 7 24 6 18 5 1 24, zy
17: 1 5 18 6 22 6 19 1 6 1 24, zy
18: 1 5 18 6 22 6 20 6 20 6 23, zy
19: 1 6 1 18 1 7 22 6 16 6 21, zy
20: 1 6 1 18 1 7 24 6 18 6 23, zy
21: 1 6 1 19 4 10 4 17 1 7 23, zy
22: 1 6 1 19 6 22 7 1 17 6 23, zy
23: 1 7 20 6 18 6 16 4 10 4 15, zy
24: 1 7 24 6 16 4 14 4 12 4 17, zy
25: 1 7 24 6 18 6 22 6 20 6 19, zy
26: 1 5 14 2 2 2 12 4 14 4 16 6 23, zy
27: 1 5 14 4 10 2 4 2 8 4 16 6 21, zy
28: 1 5 14 4 14 2 2 2 10 2 6 4 21, zy
29: 1 5 14 4 14 4 10 4 17 1 6 1 22, zy
30: 1 5 14 4 14 4 14 4 12 4 16 6 23, zy
31: 1 5 14 4 16 6 22 6 19 1 6 1 22, zy
32: 1 5 16 4 10 2 6 4 20 6 18 6 23, zy
33: 1 5 16 4 10 4 14 4 12 4 14 6 23, zy
34: 1 5 16 4 12 4 16 4 10 4 18 6 23, zy
35: 1 5 16 4 12 4 16 6 24 6 18 6 23, zy
36: 1 5 16 4 12 4 18 6 22 6 20 6 23, zy
37: 1 5 16 6 20 6 18 6 19 1 6 1 22, zy
38: 1 5 16 6 21 1 6 1 18 1 6 1 22, zy
39: 1 5 16 6 22 6 18 6 19 1 6 1 22, zy
40: 1 5 18 5 1 24 1 6 1 18 1 7 25, zy
41: 1 7 20 6 16 4 10 4 14 4 10 4 15, zy
42: 1 7 20 6 18 4 8 4 16 4 10 4 15, zy
43: 1 7 22 6 14 4 12 4 10 2 6 4 17, zy
44: 1 7 24 6 16 4 10 2 6 4 20 6 19, zy
45: 1 7 24 6 16 4 14 4 14 4 12 4 17, zy
46: 1 7 24 6 18 4 8 2 8 4 20 6 19, zy
47: 1 7 24 6 18 4 10 4 18 6 22 6 19, zy
48: 1 7 24 6 18 6 22 6 18 6 22 6 19, zy
