1  - CS   (72, 724) 1 5 14 4 12 4 16 6 21 1 5 14 5 1 21 6 18 6 21 1 5 14 5 1 21 6 16 4 12 4 14 5 1 21 6 18 6 22 6 16 6 23 1 5 16 5 1 23 7 1 17 6 22 6 17 1 7 23 1 5 16 5 1 23 6 16 6 22 6 18 6 21 OOEEEEEEOOOEOOOEEEOOOEOOOEEEEEEOOOEEEEEEEOOOEOOOOOOEEEOOOOOOEOOOEEEEEEEO
2  - CS   (76, 740) 1 5 14 4 12 4 14 4 12 4 14 4 12 4 14 4 12 4 14 4 12 4 14 5 1 21 6 18 6 21 1 6 1 19 6 20 6 18 6 22 7 1 17 6 21 1 6 1 19 6 20 6 19 1 6 1 21 6 17 1 7 22 6 18 6 20 6 19 1 6 1 21 6 18 6 21 OOEEEEEEEEEEEEEEEEEEEEEOOOEEEOOEOOEEEEEEOOOEOOEOOEEEOOEOOEOOOEEEEEEOOEOOEEEO
3  - CS   (76, 664) 1 5 14 4 12 4 14 4 12 4 14 4 14 6 23 1 5 16 5 1 23 7 1 17 4 8 2 6 2 8 4 17 1 7 23 1 5 16 5 1 23 6 14 4 14 4 12 4 14 4 12 4 14 5 1 21 6 18 4 8 4 18 4 8 4 18 4 8 4 18 4 8 4 18 6 21 OOEEEEEEEEEEEEOOOEOOOOOOEEEEEEEOOOOOOEOOOEEEEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEO
4  - CS   (112, 1040) 1 5 14 4 12 4 14 4 12 4 14 4 12 2 2 2 10 2 2 2 12 4 14 4 12 4 14 4 12 4 14 5 1 21 6 18 6 21 1 6 1 19 6 20 6 18 6 22 6 16 5 1 22 1 5 14 4 12 4 15 1 7 21 1 6 1 19 6 20 6 20 6 18 6 20 6 20 6 19 1 6 1 21 7 1 15 4 12 4 14 5 1 22 1 5 16 6 22 6 18 6 20 6 19 1 6 1 21 6 18 6 21 OOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEOOEOOEEEEEEEEOOEOOEEEEOOOOOEOOEEEEEEEEEEEOOEOOOOOEEEEOOEOOEEEEEEEEOOEOOEEEO
5  - CS   (132, 1072) 1 5 12 4 16 4 8 2 8 4 16 4 10 4 16 4 10 4 17 1 6 1 22 1 5 14 4 14 4 10 2 4 2 10 4 16 6 22 6 16 4 10 2 4 2 10 4 14 4 14 5 1 22 1 6 1 17 4 10 4 16 4 10 4 16 4 8 2 8 4 16 4 12 5 1 20 1 6 1 21 7 1 15 4 12 4 14 4 12 4 14 5 1 21 6 18 4 8 4 18 4 8 4 18 4 8 4 18 4 8 4 18 6 21 1 5 14 4 12 4 14 4 12 4 15 1 7 21 1 6 1 20 OOEEEEEEEEEEEEEEEEOOEOEOOEEEEEEEEEEEEEEEEEEEEEEEEEOOEOEOOEEEEEEEEEEEEEEEEOOEOEOOOOOEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEOOOEEEEEEEEOOOOOEOE
6  - CS   (142, 1304) 1 5 14 4 12 4 16 6 21 1 5 14 5 1 21 6 18 6 21 1 6 1 19 6 19 1 6 1 21 6 18 4 8 4 18 4 8 4 18 4 8 4 18 6 21 1 6 1 19 6 19 1 6 1 21 6 18 6 21 1 5 14 5 1 21 6 16 4 12 4 14 5 1 21 6 18 6 22 6 16 6 23 1 5 16 5 1 23 6 14 4 14 4 12 4 14 4 10 2 6 4 19 1 6 1 20 1 6 1 20 1 6 1 19 4 6 2 10 4 14 4 12 4 14 4 14 6 23 1 5 16 5 1 23 6 16 6 22 6 18 6 21 OOEEEEEEOOOEOOOEEEOOEOOEOOEOOEEEEEEEEEEEEEEEOOEOOEOOEOOEEEOOOEOOOEEEEEEOOOEEEEEEEOOOEOOOEEEEEEEEEEEEEOOEOEOEOEOEOOEEEEEEEEEEEEEOOOEOOOEEEEEEEO
7  - CS   (168, 1344) 1 5 14 4 12 4 14 4 14 5 1 23 7 1 17 4 8 2 8 4 16 4 10 4 16 4 10 4 16 4 10 4 16 4 10 4 16 4 10 4 16 6 23 1 5 16 4 10 2 4 2 8 2 6 2 6 2 8 4 18 6 20 6 20 6 18 6 20 6 20 6 18 4 8 2 6 2 6 2 8 2 4 2 10 4 16 5 1 23 6 16 4 10 4 16 4 10 4 16 4 10 4 16 4 10 4 16 4 10 4 16 4 8 2 8 4 17 1 7 23 1 5 14 4 14 4 12 4 14 5 1 21 6 18 4 8 2 6 2 6 2 6 2 10 4 14 4 12 4 14 4 12 4 14 4 10 2 6 2 6 2 6 2 8 4 18 6 21 OOEEEEEEEOOOOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOOOOEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEO
8  - CS   (182, 1492) 1 5 16 4 10 4 16 4 10 2 4 2 8 2 4 2 10 2 4 2 8 2 4 2 10 2 4 2 8 2 4 2 10 4 16 4 10 4 16 5 1 23 6 16 5 1 23 7 1 17 4 8 2 6 2 8 4 18 6 20 6 18 6 22 6 16 4 10 2 4 2 8 2 6 2 6 2 8 2 4 2 10 4 16 6 22 6 17 1 7 22 6 18 6 21 1 6 1 19 6 18 4 10 4 16 6 22 6 16 4 12 4 12 4 16 6 22 6 16 4 10 4 18 6 19 1 6 1 21 6 18 6 22 7 1 17 6 22 6 16 4 10 2 4 2 8 2 6 2 6 2 8 2 4 2 10 4 16 6 22 6 18 6 20 6 18 4 8 2 6 2 8 4 17 1 7 23 1 5 16 6 23 OOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEOOOOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEOOEOOEEEEEEEEEEEEEEEEEEEEEEEEEOOEOOEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOOOOEEO
9  - CS   (188, 1148) 1 5 14 4 12 4 14 4 12 2 2 2 10 2 4 2 8 2 6 2 6 2 6 2 8 2 6 2 6 2 6 2 8 2 6 2 6 2 6 2 8 2 4 2 10 2 4 2 8 4 18 6 21 1 5 14 4 12 4 16 6 20 4 6 2 10 4 14 4 12 4 14 4 12 4 14 4 12 4 14 4 10 2 6 4 20 6 16 4 12 4 14 5 1 21 6 18 4 8 2 4 2 10 2 4 2 8 2 6 2 6 2 6 2 8 2 6 2 6 2 6 2 8 2 6 2 6 2 6 2 8 2 4 2 10 2 2 2 12 4 14 4 12 4 14 5 1 21 6 18 4 8 2 4 2 10 2 4 2 8 2 6 2 6 2 6 2 8 2 6 2 6 2 6 2 8 2 4 2 10 2 4 2 8 4 18 6 21 OOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEO
10 - CS   (204, 1620) 1 5 14 4 12 2 2 2 12 4 12 4 16 6 21 1 6 1 19 4 6 2 8 2 6 2 6 2 8 4 18 6 20 6 18 4 8 2 6 2 6 2 8 2 6 4 19 1 6 1 21 6 16 4 12 4 12 2 2 2 12 4 14 5 1 22 1 5 14 4 14 4 10 2 4 2 10 4 16 6 22 7 1 17 6 20 6 20 6 18 4 8 2 6 2 6 2 8 2 4 2 10 4 16 4 8 2 6 2 8 2 4 2 10 4 16 6 22 6 16 4 12 4 12 4 16 6 22 7 1 17 6 20 6 20 6 20 6 17 1 7 22 6 16 4 12 4 12 4 16 6 22 6 16 4 10 2 4 2 8 2 6 2 8 4 16 4 10 2 4 2 8 2 6 2 6 2 8 4 18 6 20 6 20 6 17 1 7 22 6 16 4 10 2 4 2 10 4 14 4 14 5 1 22 OOEEEEEEEEEEEEOOEOOEEEEEEEEEEEEEEEEEEEEEEEEEEEOOEOOEEEEEEEEEEEEOOEOOEEEEEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEEEEEEEOOE
11 - CS   (208, 1652) 1 5 14 4 12 4 14 4 12 4 16 6 20 4 6 2 8 2 6 2 4 2 12 4 12 2 2 2 12 4 12 4 16 6 21 1 6 1 19 4 6 2 8 2 6 2 6 2 8 4 18 6 20 6 18 4 8 2 6 2 6 2 8 2 6 4 19 1 6 1 21 6 16 4 12 4 12 2 2 2 12 4 12 2 4 2 6 2 8 2 6 4 20 6 16 4 12 4 14 4 12 4 14 5 1 21 6 18 4 8 4 19 1 6 1 19 4 8 4 18 6 21 1 6 1 19 6 18 4 10 4 16 6 22 6 16 4 10 2 4 2 10 4 14 4 14 5 1 22 1 5 14 4 14 5 1 22 1 5 14 4 14 5 1 22 1 5 14 4 14 4 10 2 4 2 10 4 16 6 22 6 16 4 10 4 18 6 19 1 6 1 21 6 18 4 8 4 19 1 6 1 19 4 8 4 18 6 21 OOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOEOOEEEEEEEEEEEEEEEEEEEEEEEEEEEOOEOOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEOOEOOEEEEEOOEOOEEEEEEEEEEEEEEEEEEEEOOEOOEEEOOEOOEEEOOEOOEEEEEEEEEEEEEEEEEEEEOOEOOEEEEEOOEOOEEEEEO
